id,achievementCount,attemptCount,communityCreation,creationTime,description,detailsPageUrl,doneAchievementCount,globalTotal,lastActivity,level,mode,position,solvedCount,testSessionHandle,title,total,type,validatorScore,xpPoints,feedbackAvg,feedbackCount
349,0,652,True,2017-10-28 20:32:03.473000000,,/training/medium/magic-square,0,,2018-02-06 15:53:40.039000064,medium,,,523,9159952b79c26bd0f518ee9d1d9868305c79968,Magic Square,,CODE,100,50.0,3.8220338983050848,118
350,0,544,True,2017-10-29 11:40:07.711000000,,/training/medium/count-of-primes-in-a-number-grid,0,,,medium,,,362,,Count of Primes in a number grid,,CODE,0,50.0,4.136842105263158,95
351,0,1440,True,2017-11-03 11:49:47.016000000,,/training/easy/text-formatting,0,,2019-04-06 16:07:11.236000000,easy,,,976,162578025feef4e6be2bd71808d766b47d88f452,Text formatting,,CODE,100,50.0,3.9867256637168142,226
352,0,147,True,2017-11-08 20:25:10.208000000,,/training/medium/gravity-centrifuge,0,,,medium,,,119,,Gravity Centrifuge,,CODE,0,50.0,4.392857142857143,28
354,0,358,True,2017-11-22 22:21:35.838000000,,/training/medium/find-the-replacement,0,,2018-04-14 10:10:13.025999872,medium,,,291,10826944fc544e65567dee067cb32148491fcfa6,Find the replacement,,CODE,83,50.0,3.973684210526316,76
355,0,2748,True,2017-11-24 14:09:42.203000000,,/training/easy/the-travelling-salesman-problem,0,,2018-05-26 16:17:04.040999936,easy,,,2066,113193781fddee820a749d59513e9cea33485c0f,The Travelling Salesman Problem,,CODE,100,50.0,4.261682242990654,428
356,0,123,True,2017-11-27 12:40:08.701000000,,/training/hard/monte-carlo-tree-search-exercise,0,,,hard,,,86,,Monte Carlo Tree Search exercise,,CODE,0,50.0,4.375,24
357,0,234,True,2017-11-30 15:40:32.378000000,,/training/expert/dungeon-designer,0,,,expert,,,85,,Dungeon Designer,,CODE,0,50.0,4.8,25
358,0,2038,True,2017-12-01 16:01:04.409000000,,/training/easy/organic-compounds,0,,2019-04-06 13:22:04.052999936,easy,,,1005,118160655aa5b34c2efc2a67618442f54111f1a9,Organic Compounds ?,,CODE,100,50.0,4.215613382899628,269
359,0,3208,False,2017-12-06 15:45:47.084000000,,/multiplayer/bot-programming/mean-max,0,1585.0,2019-08-09 23:02:44.100000000,multi,,108.0,0,10180963fc428532b58dfb8ce388a3e37a7ec8f6,Mean Max,234.0,ARENA,0,,4.45,140
360,0,1303,True,2017-12-06 17:49:20.407000000,,/training/easy/simple-awale,0,,2018-06-10 13:56:45.063000064,easy,,,1086,11753048371ba7387728e1f3fc78e3e0bf433cce,Simple Awalé,,CODE,100,50.0,4.137096774193548,248
361,0,204,True,2017-12-09 20:53:57.645000000,,/training/medium/2048-scores,0,,,medium,,,116,,2048 scores,,CODE,0,50.0,4.0,37
363,0,256,True,2017-12-15 18:39:30.746000000,,/training/medium/plight-of-the-fellowship-of-the-ring,0,,,medium,,,142,,Plight Of The Fellowship Of The Ring,,CODE,0,50.0,3.95,40
364,0,490,True,2017-12-17 12:39:19.904000000,,/training/medium/bingo,0,,,medium,,,326,,Bingo!,,CODE,0,50.0,4.247422680412371,97
365,0,283,True,2017-12-17 18:04:25.732000000,,/training/hard/magic-count-of-numbers,0,,,hard,,,151,,Magic count of numbers,,CODE,0,50.0,4.659574468085107,47
366,0,164,True,2017-12-19 07:33:34.593000000,,/training/medium/gravity-centrifuge-tuning,0,,,medium,,,123,,Gravity Centrifuge Tuning,,CODE,0,50.0,4.486486486486487,37
367,0,277,True,2017-12-31 16:39:31.025000000,,/training/medium/the-grand-festival---i,0,,2018-09-04 13:48:42.336999936,medium,,,174,13200733fea85a0b2ba29d8e0da541e83468e1e6,The Grand Festival - I,,CODE,0,50.0,4.488888888888889,45
368,0,298,True,2018-01-03 11:43:04.975000000,,/training/expert/minimax-simple-example,0,,2018-09-06 15:21:19.328999936,expert,,,79,101335839862a9ab646c2bfab268bea19a8554d7,Minimax Simple Example,,CODE,0,50.0,4.617647058823529,34
369,0,103,True,2018-01-04 13:24:49.016000000,,/training/hard/musical-intervals,0,,,hard,,,81,,Musical Intervals,,CODE,0,50.0,3.909090909090909,22
370,0,335,True,2018-01-06 17:17:42.160000000,,/training/medium/box-of-cigars,0,,2018-02-08 22:04:51.041999872,medium,,,219,10135317ca34deeb6c26c4dc28fe128b044122b6,Box of Cigars,,CODE,100,50.0,4.3125,48
